corpus,file,w,h,raw_bytes,png_current_bytes,png_current_encode_s,png_current_decode_s,png_current_pixel_exact,png_current_max_channel_error,png_optimized_bytes,png_optimized_encode_s,png_optimized_decode_s,png_optimized_pixel_exact,png_optimized_max_channel_error,webp_lossless_bytes,webp_lossless_encode_s,webp_lossless_decode_s,webp_lossless_pixel_exact,webp_lossless_max_channel_error,avif_q100_444_bytes,avif_q100_444_encode_s,avif_q100_444_decode_s,avif_q100_444_pixel_exact,avif_q100_444_max_channel_error
sprite_sheet,sprites-d656db403e768009060b5f328dfe2ff665683e203d064d355ab3bc7e716ce6be.bmp.lzma,384,384,589824,49009,0.11908036400001265,0.004076412000017626,True,0,85888,0.18430180199999313,0.005978497999990395,True,0,28928,0.31640666100003045,0.003780457999994269,True,0,273392,0.1673619379999991,0.04794887700001027,False,2
sprite_sheet,sprites-5425eee4550baee19798d5102e30620358ec8f0405a856f0aae82c01b4720fac.bmp.lzma,384,384,589824,11087,0.022415479000017058,0.0016578569999978754,True,0,17919,0.041048364999994646,0.003533285999992586,True,0,6174,0.09326646499999924,0.0016481200000271201,True,0,14254,0.07956975700000157,0.007582452999997713,False,2
sprite_sheet,sprites-ee10c2a545f5b4bce1d6d9025111644a80bf963434411caf129c66bbb8bb33aa.bmp.lzma,384,384,589824,25529,0.03688043500000049,0.0017263990000060403,True,0,39795,0.06393491600005063,0.0032869269999764583,True,0,13388,0.052670407999983127,0.0016982299999881434,True,0,35729,0.12001539299996011,0.011535132999995312,False,2
sprite_sheet,sprites-25f862380bacad79e6efbe23fe36fd7353fe9885cf8c6723f9947d44a62f1768.bmp.lzma,384,384,589824,11602,0.019888485000024048,0.001518356999952175,True,0,19090,0.0441551929999946,0.0026523280000105842,True,0,5336,0.014570546000015838,0.0014232340000148724,True,0,19126,0.08503926299999875,0.00860234499998569,False,2
sprite_sheet,sprites-83ce0ea78a32d95298d3475e9bc39506add318acadfb447a39996fc4a3529a03.bmp.lzma,384,384,589824,36267,0.0679429680000112,0.0016501480000101765,True,0,75393,0.14734410200003367,0.003604378000034103,True,0,17452,0.03367612099998496,0.0017894800000135547,True,0,103238,0.23999233700004652,0.021352618000037182,False,2
sprite_sheet,sprites-7d13721951ba6f31de1c142e3cf1c81ff4e03d0ceb940a17d59b989aa3d75a66.bmp.lzma,384,384,589824,26157,0.03906532899998183,0.0016831780000075014,True,0,41502,0.08325437900003863,0.0030208050000055664,True,0,14510,0.08311826999999994,0.0017873549999762872,True,0,42737,0.1484273820000226,0.013844821000020602,False,2
sprite_sheet,sprites-5208f5de01fc45571641dc79d352346a854790e27cbcd67728aa43c2b1eb8d45.bmp.lzma,384,384,589824,13485,0.020414856000002146,0.0014193499999919368,True,0,18355,0.031199805999960972,0.0026464759999953458,True,0,7150,0.10000193400003354,0.0015281159999744887,True,0,21021,0.09252048500002275,0.008598094000035417,False,2
sprite_sheet,sprites-497dc63552a3c23af40936b2ca2933bcc81a72100b3ae591c5394a80b16af853.bmp.lzma,384,384,589824,19492,0.011387221000006775,0.0016523720000236608,True,0,22610,0.025098089999971762,0.0026065350000408216,True,0,11950,0.06339538100002073,0.0020719649999705325,True,0,20508,0.061786578000010195,0.009711973999969814,False,2
minimap,minimap-32-0996-0968-00-647ec7fa31e97660af8e822af00fff2f8012b86ed4365398c0a759bef5a8e837.bmp.lzma,512,512,1048576,2140,0.010153226999989329,0.0035403360000145767,True,0,2607,0.014403061999985312,0.0035219829999846297,True,0,750,0.011179016000028241,0.0016688300000282652,True,0,8013,0.06881896999999526,0.007766867000043476,False,2
minimap,minimap-32-0996-0984-05-1f6d0790d36538f5a9756ba06f58682525c40b227d388fe71751f94231a130f1.bmp.lzma,512,512,1048576,4456,0.020000854999977946,0.0032515610000132256,True,0,5900,0.03158827300001121,0.0045562520000430595,True,0,2116,0.01632485199996836,0.0020746900000290225,True,0,5545,0.09721165999997083,0.011015067999949224,False,2
